class,NprotM,BOvR,ATFD,ATLD,LAA,BUR
com.alibaba.fastjson.asm.FieldWriter,0.0,-1.0,0.0,3.0,1.0,-1.0
com.alibaba.fastjson.parser.deserializer.ArrayListTypeFieldDeserializer,0.0,0.6666667,53.0,8.0,0.13114753,-1.0
com.alibaba.fastjson.serializer.AfterFilter,0.0,-1.0,9.0,1.0,0.1,-1.0
com.alibaba.fastjson.util.IOUtils,0.0,-1.0,12.0,35.0,0.7446808,-1.0
com.alibaba.fastjson.JSONPath$IntOpSegement,1.0,0.0,25.0,19.0,0.4318182,0.0
com.alibaba.fastjson.JSONReader,0.0,-1.0,73.0,25.0,0.25510204,-1.0
com.alibaba.fastjson.serializer.ToStringSerializer,0.0,-1.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable,0.0,-1.0,3.0,1.0,0.25,-1.0
com.alibaba.fastjson.support.spring.FastJsonContainer,0.0,-1.0,0.0,4.0,1.0,-1.0
com.alibaba.fastjson.JSONPath$Context,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.parser.deserializer.ASMDeserializerFactory$Context,0.0,-1.0,13.0,4.0,0.23529412,-1.0
com.alibaba.fastjson.serializer.ASMSerializerFactory$Context,0.0,-1.0,5.0,4.0,0.44444445,-1.0
com.alibaba.fastjson.util.FieldInfo,0.0,-1.0,62.0,39.0,0.38613862,-1.0
com.alibaba.fastjson.util.JavaBeanInfo,0.0,-1.0,178.0,8.0,0.043010753,-1.0
com.alibaba.fastjson.parser.deserializer.StackTraceElementDeserializer,0.0,-1.0,36.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.BeforeFilter,0.0,-1.0,8.0,1.0,0.11111111,-1.0
com.alibaba.fastjson.serializer.EnumerationSerializer,0.0,-1.0,9.0,0.0,0.0,-1.0
com.alibaba.fastjson.asm.Label,0.0,-1.0,5.0,22.0,0.8148148,-1.0
com.alibaba.fastjson.serializer.CharacterCodec,0.0,-1.0,2.0,0.0,0.0,-1.0
com.alibaba.fastjson.util.RyuDouble,0.0,-1.0,2.0,2.0,0.5,-1.0
com.alibaba.fastjson.JSONPath$RegMatchSegement,1.0,0.0,1.0,0.0,0.0,0.0
com.alibaba.fastjson.support.geo.GeometryCollection,0.0,0.0,0.0,1.0,1.0,-1.0
com.alibaba.fastjson.serializer.FieldSerializer$RuntimeSerializerInfo,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.JSONPath$WildCardSegment,0.0,-1.0,5.0,3.0,0.375,-1.0
com.alibaba.fastjson.serializer.IntegerCodec,0.0,-1.0,16.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.SerialContext,0.0,-1.0,0.0,7.0,1.0,-1.0
com.alibaba.fastjson.support.geo.Polygon,0.0,0.0,0.0,2.0,1.0,-1.0
com.alibaba.fastjson.support.retrofit.Retrofit2ConverterFactory,0.0,0.0,9.0,2.0,0.18181819,-1.0
com.alibaba.fastjson.util.TypeUtils,0.0,-1.0,469.0,179.0,0.27623457,-1.0
com.alibaba.fastjson.parser.deserializer.AbstractDateDeserializer,0.0,0.6666667,42.0,0.0,0.0,-1.0
com.alibaba.fastjson.asm.ClassWriter,0.0,-1.0,43.0,59.0,0.57843137,-1.0
com.alibaba.fastjson.util.RyuFloat,0.0,-1.0,2.0,8.0,0.8,-1.0
com.alibaba.fastjson.util.ThreadLocalCache,0.0,-1.0,12.0,8.0,0.4,-1.0
com.alibaba.fastjson.serializer.JSONObjectCodec,0.0,-1.0,7.0,0.0,0.0,-1.0
com.alibaba.fastjson.parser.deserializer.ResolveFieldDeserializer,0.0,1.0,7.0,8.0,0.53333336,-1.0
com.alibaba.fastjson.serializer.BooleanCodec,0.0,-1.0,15.0,0.0,0.0,-1.0
com.alibaba.fastjson.JSONPath$ArrayAccessSegment,0.0,-1.0,5.0,4.0,0.44444445,-1.0
com.alibaba.fastjson.JSONPath$PropertyFilter,0.0,-1.0,1.0,3.0,0.75,-1.0
com.alibaba.fastjson.parser.DefaultJSONParser,0.0,-1.0,338.0,150.0,0.30737704,-1.0
com.alibaba.fastjson.JSONPath$MultiPropertySegment,0.0,-1.0,18.0,3.0,0.14285715,-1.0
com.alibaba.fastjson.parser.DefaultJSONParser$ResolveTask,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.JSONPath$FilterGroup,0.0,-1.0,0.0,3.0,1.0,-1.0
com.alibaba.fastjson.JSONPatch,0.0,-1.0,21.0,0.0,0.0,-1.0
com.alibaba.fastjson.JSONPath$RefOpSegement,1.0,0.0,13.0,2.0,0.13333334,0.0
com.alibaba.fastjson.JSON,0.0,-1.0,121.0,39.0,0.24375,-1.0
com.alibaba.fastjson.serializer.JavaBeanSerializer,4.0,0.0,156.0,32.0,0.17021276,0.0
com.alibaba.fastjson.serializer.AwtCodec,0.0,-1.0,82.0,0.0,0.0,-1.0
com.alibaba.fastjson.support.spring.FastJsonJsonView,0.0,0.0,27.0,19.0,0.41304347,-1.0
com.alibaba.fastjson.serializer.Labels$DefaultLabelFilter,0.0,-1.0,0.0,4.0,1.0,-1.0
com.alibaba.fastjson.serializer.ReferenceCodec,0.0,-1.0,8.0,0.0,0.0,-1.0
com.alibaba.fastjson.support.retrofit.Retrofit2ConverterFactory$RequestBodyConverter,0.0,-1.0,8.0,0.0,0.0,-1.0
com.alibaba.fastjson.support.spring.JSONPResponseBodyAdvice,0.0,-1.0,11.0,0.0,0.0,-1.0
com.alibaba.fastjson.JSONPath$RlikeSegement,1.0,0.0,1.0,1.0,0.5,0.0
com.alibaba.fastjson.util.ASMClassLoader,0.0,0.0,6.0,1.0,0.14285715,-1.0
com.alibaba.fastjson.serializer.JSONSerializerMap,1.0,0.0,0.0,0.0,-1.0,0.0
com.alibaba.fastjson.asm.TypeCollector,0.0,-1.0,11.0,8.0,0.42105263,-1.0
com.alibaba.fastjson.serializer.JSONAwareSerializer,0.0,-1.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.ByteBufferCodec,0.0,-1.0,3.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.SerializeWriter,0.0,0.0,323.0,631.0,0.6614256,-1.0
com.alibaba.fastjson.support.geo.LineString,0.0,0.0,0.0,2.0,1.0,-1.0
com.alibaba.fastjson.parser.ParseContext,0.0,-1.0,0.0,9.0,1.0,-1.0
com.alibaba.fastjson.parser.ParserConfig,0.0,-1.0,287.0,84.0,0.2264151,-1.0
com.alibaba.fastjson.parser.deserializer.ASMDeserializerFactory,0.0,-1.0,1184.0,148.0,0.11111111,-1.0
com.alibaba.fastjson.support.config.FastJsonConfig,0.0,-1.0,2.0,20.0,0.90909094,-1.0
com.alibaba.fastjson.util.AntiCollisionHashMap$Values,0.0,0.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.support.moneta.MonetaCodec,0.0,-1.0,8.0,0.0,0.0,-1.0
com.alibaba.fastjson.parser.deserializer.EnumCreatorDeserializer,0.0,-1.0,0.0,1.0,1.0,-1.0
com.alibaba.fastjson.util.GenericArrayTypeImpl,0.0,-1.0,2.0,2.0,0.5,-1.0
com.alibaba.fastjson.serializer.FieldSerializer,0.0,-1.0,78.0,31.0,0.28440368,-1.0
com.alibaba.fastjson.parser.deserializer.MapDeserializer,0.0,0.11111111,120.0,0.0,0.0,-1.0
com.alibaba.fastjson.parser.deserializer.NumberDeserializer,0.0,-1.0,40.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.Labels,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.serializer.SerializeBeanInfo,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.asm.Item,0.0,-1.0,0.0,16.0,1.0,-1.0
com.alibaba.fastjson.serializer.MapSerializer,4.0,0.0,33.0,7.0,0.175,0.0
com.alibaba.fastjson.support.spring.FastJsonHttpMessageConverter$Spring4TypeResolvableHelper,0.0,-1.0,11.0,1.0,0.083333336,-1.0
com.alibaba.fastjson.support.spring.MappingFastJsonValue,0.0,-1.0,1.0,11.0,0.9166667,-1.0
com.alibaba.fastjson.parser.deserializer.JavaObjectDeserializer,0.0,-1.0,9.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.BigDecimalCodec,0.0,-1.0,14.0,2.0,0.125,-1.0
com.alibaba.fastjson.parser.deserializer.ContextObjectDeserializer,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.serializer.AppendableSerializer,0.0,-1.0,2.0,0.0,0.0,-1.0
com.alibaba.fastjson.parser.JSONToken,0.0,-1.0,0.0,26.0,1.0,-1.0
com.alibaba.fastjson.support.retrofit.Retrofit2ConverterFactory$ResponseBodyConverter,0.0,-1.0,6.0,1.0,0.14285715,-1.0
com.alibaba.fastjson.util.ServiceLoader,0.0,-1.0,2.0,1.0,0.33333334,-1.0
com.alibaba.fastjson.util.TypeUtils$MethodInheritanceComparator,0.0,-1.0,4.0,0.0,0.0,-1.0
com.alibaba.fastjson.parser.JSONScanner,7.0,0.7446808,348.0,797.0,0.6960699,0.0
com.alibaba.fastjson.JSONPath$JSONPathParser,0.0,-1.0,91.0,180.0,0.6642066,-1.0
com.alibaba.fastjson.parser.deserializer.Jdk8DateCodec,0.0,0.11111111,63.0,42.0,0.4,-1.0
com.alibaba.fastjson.parser.deserializer.JSONPDeserializer,0.0,-1.0,8.0,0.0,0.0,-1.0
com.alibaba.fastjson.parser.deserializer.JavaBeanDeserializer,0.0,-1.0,469.0,44.0,0.08576998,-1.0
com.alibaba.fastjson.JSONPath$MatchSegement,1.0,0.0,1.0,12.0,0.9230769,0.0
com.alibaba.fastjson.JSONPath$MaxSegment,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.parser.deserializer.DefaultFieldDeserializer,0.0,0.5,35.0,9.0,0.20454545,-1.0
