class,NprotM,BOvR
org.jsoup.parser.TokeniserState$9,0.0,0.0
org.jsoup.select.StructuralEvaluator$Ancestor,2.0,0.6666667
org.jsoup.parser.HtmlTreeBuilderState$20,0.0,0.0
org.jsoup.parser.TokeniserState$20,0.0,0.0
org.jsoup.parser.HtmlTreeBuilderState$21,0.0,0.0
org.jsoup.parser.StreamParser$ElementIterator,0.0,0.0
org.jsoup.parser.TokeniserState$21,0.0,0.0
org.jsoup.select.Evaluator$IsRoot,2.0,0.6666667
org.jsoup.parser.HtmlTreeBuilderState$22,0.0,0.0
org.jsoup.parser.TokeniserState$22,0.0,0.0
org.jsoup.parser.HtmlTreeBuilderState$23,0.0,0.0
org.jsoup.parser.TokeniserState$23,0.0,0.0
org.jsoup.parser.HtmlTreeBuilderState$24,0.0,0.0
org.jsoup.parser.TokeniserState$24,0.0,0.0
org.jsoup.select.Elements,0.0,0.0
org.jsoup.select.Evaluator$Matches,2.0,0.6666667
org.jsoup.select.NodeEvaluator$InstanceType,2.0,0.6666667
org.jsoup.nodes.Attribute,0.0,0.0
org.jsoup.parser.TokeniserState$25,0.0,0.0
org.jsoup.select.Evaluator$Attribute,2.0,0.6666667
org.jsoup.parser.TokeniserState$26,0.0,0.0
org.jsoup.parser.TokeniserState$27,0.0,0.0
org.jsoup.parser.TokeniserState$28,0.0,0.0
org.jsoup.parser.TokeniserState$29,0.0,0.0
org.jsoup.select.StructuralEvaluator$ImmediateParentRun,2.0,0.6
org.jsoup.parser.Parser,0.0,0.0
org.jsoup.nodes.CDataNode,16.0,0.75
org.jsoup.select.NodeEvaluator$MatchesValue,2.0,0.6666667
org.jsoup.nodes.LeafNode,15.0,0.7368421
org.jsoup.parser.TagSet,0.0,0.0
org.jsoup.safety.Safelist$Protocol,0.0,0.0
org.jsoup.helper.UrlConnectionExecutor,0.0,0.6
org.jsoup.parser.TokeniserState$30,0.0,0.0
org.jsoup.parser.TokeniserState$31,0.0,0.0
org.jsoup.parser.TokeniserState$32,0.0,0.0
org.jsoup.parser.TokeniserState$33,0.0,0.0
org.jsoup.parser.TokeniserState$34,0.0,0.0
org.jsoup.select.Evaluator$IndexEquals,2.0,0.5
org.jsoup.parser.TokeniserState$35,0.0,0.0
org.jsoup.internal.SharedConstants,0.0,NaN
org.jsoup.parser.TokeniserState$36,0.0,0.0
org.jsoup.parser.TokeniserState$37,0.0,0.0
org.jsoup.parser.TokeniserState$38,0.0,0.0
org.jsoup.parser.TokeniserState$39,0.0,0.0
org.jsoup.internal.QuietAppendable$BaseAppendable,0.0,0.25
org.jsoup.parser.Token$Doctype,0.0,0.14285715
org.jsoup.HttpStatusException,0.0,0.0
org.jsoup.parser.TreeBuilder,0.0,0.0
org.jsoup.internal.Functions,0.0,0.0
org.jsoup.nodes.Printer$Pretty,0.0,0.30769232
org.jsoup.parser.CharacterReader,0.0,0.0
org.jsoup.select.Evaluator,0.0,0.0
org.jsoup.parser.Token$XmlDecl,0.0,0.5
org.jsoup.select.Evaluator$MatchText,2.0,0.6666667
org.jsoup.select.Evaluator$AttributeWithValueNot,2.0,0.6666667
org.jsoup.select.StructuralEvaluator$Has,2.0,0.6
org.jsoup.nodes.XmlDeclaration,16.0,0.5
org.jsoup.parser.TokeniserState$40,0.0,0.0
org.jsoup.parser.TokeniserState$41,0.0,0.0
org.jsoup.helper.RequestAuthenticator$Context,0.0,0.0
org.jsoup.parser.TokeniserState$42,0.0,0.0
org.jsoup.parser.TokeniserState$43,0.0,0.0
org.jsoup.parser.TokeniserState$44,0.0,0.0
org.jsoup.safety.Safelist$AttributeValue,0.0,0.0
org.jsoup.parser.TokeniserState$45,0.0,0.0
org.jsoup.select.Evaluator$IsFirstOfType,4.0,1.0
org.jsoup.parser.TokeniserState$46,0.0,0.0
org.jsoup.select.Evaluator$AttributeWithValueEnding,2.0,0.6666667
org.jsoup.helper.Re2jRegex$Re2jMatcher,0.0,0.0
org.jsoup.parser.TokeniserState$47,0.0,0.0
org.jsoup.parser.TokeniserState$48,0.0,0.0
org.jsoup.parser.TokeniserState$49,0.0,0.0
org.jsoup.select.Evaluator$AttributeWithValueContaining,2.0,0.6666667
org.jsoup.select.NodeEvaluator,2.0,0.75
org.jsoup.helper.DataUtil,0.0,0.0
org.jsoup.select.Evaluator$AttributeStarting,2.0,0.6666667
org.jsoup.safety.Cleaner$ElementMeta,0.0,NaN
org.jsoup.nodes.DataNode,16.0,0.4
org.jsoup.helper.AuthenticationHandler,0.0,0.0
org.jsoup.helper.Regex,0.0,0.0
org.jsoup.parser.TokeniserState$50,0.0,0.0
org.jsoup.parser.TokeniserState$51,0.0,0.0
org.jsoup.parser.TokeniserState$52,0.0,0.0
org.jsoup.parser.TokeniserState$53,0.0,0.0
org.jsoup.parser.TokenQueue,0.0,0.0
org.jsoup.parser.TokeniserState$54,0.0,0.0
org.jsoup.parser.TokeniserState$55,0.0,0.0
org.jsoup.parser.TokeniserState$56,0.0,0.0
org.jsoup.parser.TokeniserState$57,0.0,0.0
org.jsoup.parser.TokeniserState$58,0.0,0.0
org.jsoup.parser.TokeniserState$59,0.0,0.0
org.jsoup.nodes.PseudoTextElement,17.0,1.0
org.jsoup.select.Evaluator$ContainsData,2.0,0.5
org.jsoup.nodes.FormElement,17.0,0.16666667
org.jsoup.helper.Re2jRegex,0.0,1.0
org.jsoup.select.Evaluator$AttributeWithValueMatching,2.0,0.6666667
org.jsoup.select.StructuralEvaluator$Not,2.0,0.6666667
org.jsoup.internal.QuietAppendable$StringBuilderAppendable,0.0,0.25
org.jsoup.select.StructuralEvaluator,2.0,0.6666667
org.jsoup.select.Evaluator$TagStartsWith,2.0,0.5
org.jsoup.select.Evaluator$IsNthOfType,4.0,1.0
org.jsoup.parser.TokeniserState$60,0.0,0.0
org.jsoup.select.Evaluator$Class,2.0,0.6666667
org.jsoup.nodes.Range$AttributeRange,0.0,0.0
org.jsoup.parser.TokeniserState$61,0.0,0.0
org.jsoup.parser.TokeniserState$62,0.0,0.0
org.jsoup.parser.TokeniserState$63,0.0,0.0
org.jsoup.parser.TokeniserState$64,0.0,0.0
org.jsoup.parser.TokeniserState$65,0.0,0.0
org.jsoup.parser.TokeniserState$66,0.0,0.0
org.jsoup.helper.ValidationException,0.0,0.0
org.jsoup.parser.TokeniserState$67,0.0,0.0
org.jsoup.safety.Safelist,0.0,0.0
org.jsoup.parser.TokeniserState$68,0.0,0.0
org.jsoup.examples.Wikipedia,0.0,0.0
org.jsoup.nodes.Element,15.0,0.078431375
org.jsoup.helper.RequestExecutor,0.0,0.0
org.jsoup.select.StructuralEvaluator$PreviousSibling,2.0,0.6666667
org.jsoup.select.Evaluator$ContainsWholeText,2.0,0.6666667
org.jsoup.internal.StringUtil,0.0,0.0
org.jsoup.parser.Token$EOF,0.0,0.5
org.jsoup.safety.Cleaner,0.0,0.0
