class,method,ATFD,ATLD,Error
org.jsoup.helper.CookieUtil,applyCookiesToRequest,get java.net.CookieManager | cookieManager org.jsoup.helper.HttpConnection$Request | entrySet java.util.Map | getValue java.util.Map$Entry | size java.util.List | getKey java.util.Map$Entry | equals java.lang.String | equals java.lang.String | addAll java.util.Set | size java.util.Set | accept java.util.function.BiConsumer | join org.jsoup.internal.StringUtil | size java.util.Set | accept java.util.function.BiConsumer | join org.jsoup.internal.StringUtil | ,requestCookieSet org.jsoup.helper.CookieUtil | asUri org.jsoup.helper.CookieUtil | ,
org.jsoup.helper.CookieUtil,asUri,toURI java.net.URL | getMessage java.net.URISyntaxException | initCause java.lang.Throwable | ,,
org.jsoup.helper.CookieUtil,parseCookie,trim java.lang.String | consumeTo org.jsoup.parser.CharacterReader | advance org.jsoup.parser.CharacterReader | trim java.lang.String | consumeTo org.jsoup.parser.CharacterReader | isEmpty java.lang.String | cookie org.jsoup.helper.HttpConnection$Base | close org.jsoup.parser.CharacterReader | ,,
org.jsoup.helper.CookieUtil,requestCookieSet,entrySet java.util.Map | cookies org.jsoup.Connection$Base | add java.util.HashSet | getKey java.util.Map$Entry | getValue java.util.Map$Entry | ,,
org.jsoup.helper.CookieUtil,storeCookies,cookieManager org.jsoup.helper.HttpConnection$Request | put java.net.CookieManager | entrySet java.util.Map | getKey java.util.Map$Entry | getValue java.util.Map$Entry | equalsIgnoreCase java.lang.String | ,asUri org.jsoup.helper.CookieUtil | parseCookie org.jsoup.helper.CookieUtil | ,
org.jsoup.select.CombiningEvaluator$Or,matches,get java.util.List | matches org.jsoup.select.Evaluator | ,,
org.jsoup.select.CombiningEvaluator$Or,matches,get java.util.List | matches org.jsoup.select.Evaluator | ,,
org.jsoup.select.CombiningEvaluator$Or,toString,join org.jsoup.internal.StringUtil | ,,
org.jsoup.nodes.Node,absUrl,notEmpty org.jsoup.helper.Validate | hasKeyIgnoreCase org.jsoup.nodes.Attributes | resolve org.jsoup.internal.StringUtil | getIgnoreCase org.jsoup.nodes.Attributes | ,hasAttributes org.jsoup.nodes.Node | attributes org.jsoup.nodes.Node | baseUri org.jsoup.nodes.Node | attributes org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,addChildren,notNull org.jsoup.helper.Validate | get java.util.List | addAll java.util.List | asList java.util.Arrays | invalidateChildren org.jsoup.nodes.Element | noNullElements org.jsoup.helper.Validate | addAll java.util.List | asList java.util.Arrays | invalidateChildren org.jsoup.nodes.Element | ,ensureChildNodes org.jsoup.nodes.Node | parent org.jsoup.nodes.Node | childNodeSize org.jsoup.nodes.Node | ensureChildNodes org.jsoup.nodes.Node | empty org.jsoup.nodes.Node | reparentChild org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,addChildren,add java.util.List | size java.util.List | ,ensureChildNodes org.jsoup.nodes.Node | reparentChild org.jsoup.nodes.Node | setSiblingIndex org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,addSiblingHtml,notNull org.jsoup.helper.Validate | notNull org.jsoup.helper.Validate | parseFragmentInput org.jsoup.parser.Parser | parser org.jsoup.nodes.NodeUtils | toArray java.util.List | ,baseUri org.jsoup.nodes.Node | addChildren org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,after,,addSiblingHtml org.jsoup.nodes.Node | siblingIndex org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,after,notNull org.jsoup.helper.Validate | notNull org.jsoup.helper.Validate | ,remove org.jsoup.nodes.Node | addChildren org.jsoup.nodes.Node | siblingIndex org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,attr,notNull org.jsoup.helper.Validate | getIgnoreCase org.jsoup.nodes.Attributes | length java.lang.String | startsWith java.lang.String | substring java.lang.String | length java.lang.String | ,hasAttributes org.jsoup.nodes.Node | attributes org.jsoup.nodes.Node | absUrl org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,attr,settings org.jsoup.parser.Parser | parser org.jsoup.nodes.Document | normalizeAttribute org.jsoup.parser.ParseSettings | putIgnoreCase org.jsoup.nodes.Attributes | ,ownerDocument org.jsoup.nodes.Node | attributes org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,attributes,,,
org.jsoup.nodes.Node,attributesSize,size org.jsoup.nodes.Attributes | ,hasAttributes org.jsoup.nodes.Node | attributes org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,baseUri,,,
org.jsoup.nodes.Node,before,,addSiblingHtml org.jsoup.nodes.Node | siblingIndex org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,before,notNull org.jsoup.helper.Validate | notNull org.jsoup.helper.Validate | ,remove org.jsoup.nodes.Node | addChildren org.jsoup.nodes.Node | siblingIndex org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,childNode,get java.util.List | ,ensureChildNodes org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,childNodeSize,,,
org.jsoup.nodes.Node,childNodes,size java.util.List | addAll java.util.List | unmodifiableList java.util.Collections | ,childNodeSize org.jsoup.nodes.Node | ensureChildNodes org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,childNodesAsArray,toArray java.util.List | ,ensureChildNodes org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,childNodesCopy,size java.util.List | add java.util.ArrayList | ,ensureChildNodes org.jsoup.nodes.Node | clone org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,clearAttributes,iterator org.jsoup.nodes.Attributes | hasNext java.util.Iterator | next java.util.Iterator | remove java.util.Iterator | ,hasAttributes org.jsoup.nodes.Node | attributes org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,clone,add java.util.LinkedList | isEmpty java.util.AbstractCollection | remove java.util.LinkedList | get java.util.List | set java.util.List | add java.util.LinkedList | ,doClone org.jsoup.nodes.Node | childNodeSize org.jsoup.nodes.Node | ensureChildNodes org.jsoup.nodes.Node | doClone org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,doClone,clone java.lang.Object | shallowClone org.jsoup.nodes.Document | add java.util.List | ensureChildNodes org.jsoup.nodes.Element | ,siblingIndex org.jsoup.nodes.Node | ownerDocument org.jsoup.nodes.Node | ,
org.jsoup.nodes.Node,doSetBaseUri,,,
org.jsoup.nodes.Node,empty,,,
org.jsoup.nodes.Node,ensureChildNodes,,,
org.jsoup.nodes.Node,equals,,,
org.jsoup.nodes.Node,filter,notNull org.jsoup.helper.Validate | traverse org.jsoup.select.NodeFilter | ,,
