File,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\TypeUtils.java,com.alibaba.fastjson.util.TypeUtils$7,0.0,0.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\CharArrayCodec.java,com.alibaba.fastjson.serializer.CharArrayCodec,0.0,-1.0,6.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\GuavaCodec.java,com.alibaba.fastjson.serializer.GuavaCodec,0.0,-1.0,6.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\TypeUtils.java,com.alibaba.fastjson.util.TypeUtils$8,0.0,0.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONObject.java,com.alibaba.fastjson.JSONObject,0.0,0.02,32.0,30.0,0.48387095,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\spring\GenericFastJsonRedisSerializer.java,com.alibaba.fastjson.support.spring.GenericFastJsonRedisSerializer,0.0,-1.0,6.0,1.0,0.14285715,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\PrimitiveArraySerializer.java,com.alibaba.fastjson.serializer.PrimitiveArraySerializer,0.0,-1.0,8.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\asm\ClassReader.java,com.alibaba.fastjson.asm.ClassReader,0.0,-1.0,0.0,12.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONStreamContext.java,com.alibaba.fastjson.JSONStreamContext,0.0,-1.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\spring\messaging\MappingFastJsonMessageConverter.java,com.alibaba.fastjson.support.spring.messaging.MappingFastJsonMessageConverter,0.0,0.0,26.0,2.0,0.071428575,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$SizeSegment,0.0,-1.0,1.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\EnumSerializer.java,com.alibaba.fastjson.serializer.EnumSerializer,0.0,-1.0,2.0,2.0,0.5,-1.0
